Concelho,Entidade Intermunicipal,Distrito,Região
Albufeira,Algarve,Faro,Algarve
Alcácer do Sal,Alentejo Litoral,Setúbal,Baixo Alentejo
Alcoutim,Algarve,Faro,Algarve
Aljezur,Algarve,Faro,Algarve
Aljustrel,Baixo Alentejo,Beja,Baixo Alentejo
Almada,Área Metropolitana de Lisboa,Setúbal,Estremadura
Almodôvar,Baixo Alentejo,Beja,Baixo Alentejo
Alvito,Baixo Alentejo,Beja,Baixo Alentejo
Amadora,Área Metropolitana de Lisboa,Lisboa,Estremadura
Arraiolos,Alentejo Central,Évora,Alto Alentejo
Barrancos,Baixo Alentejo,Beja,Baixo Alentejo
Beja,Baixo Alentejo,Beja,Baixo Alentejo
Benavente,Lezíria do Tejo,Santarém,Ribatejo
Borba,Alentejo Central,Évora,Alto Alentejo
Cascais,Área Metropolitana de Lisboa,Lisboa,Estremadura
Castro Marim,Algarve,Faro,Algarve
Castro Verde,Baixo Alentejo,Beja,Baixo Alentejo
Cuba,Baixo Alentejo,Beja,Baixo Alentejo
Elvas,Alto Alentejo,Portalegre,Alto Alentejo
Estremoz,Alentejo Central,Évora,Alto Alentejo
Évora,Alentejo Central,Évora,Alto Alentejo
Faro,Algarve,Faro,Algarve
Ferreira do Alentejo,Baixo Alentejo,Beja,Baixo Alentejo
Grândola,Alentejo Litoral,Setúbal,Baixo Alentejo
Lagoa,Algarve,Faro,Algarve
Lagos,Algarve,Faro,Algarve
Lisboa,Área Metropolitana de Lisboa,Lisboa,Estremadura
Loulé,Algarve,Faro,Algarve
Loures,Área Metropolitana de Lisboa,Lisboa,Estremadura
Mértola,Baixo Alentejo,Beja,Baixo Alentejo
Moita,Área Metropolitana de Lisboa,Setúbal,Estremadura
Monchique,Algarve,Faro,Algarve
Montemor-o-Novo,Alentejo Central,Évora,Alto Alentejo
Montijo,Área Metropolitana de Lisboa,Setúbal,Estremadura
Moura,Baixo Alentejo,Beja,Baixo Alentejo
Odemira,Alentejo Litoral,Beja,Baixo Alentejo
Oeiras,Área Metropolitana de Lisboa,Lisboa,Estremadura
Olhão,Algarve,Faro,Algarve
Ourique,Baixo Alentejo,Beja,Baixo Alentejo
Palmela,Área Metropolitana de Lisboa,Setúbal,Estremadura
Portel,Alentejo Central,Évora,Alto Alentejo
Portimão,Algarve,Faro,Algarve
Santiago do Cacém,Alentejo Litoral,Setúbal,Baixo Alentejo
São Brás de Alportel,Algarve,Faro,Algarve
Seixal,Área Metropolitana de Lisboa,Setúbal,Estremadura
Serpa,Baixo Alentejo,Beja,Baixo Alentejo
Setúbal,Área Metropolitana de Lisboa,Setúbal,Estremadura
Silves,Algarve,Faro,Algarve
Sines,Alentejo Litoral,Setúbal,Baixo Alentejo
Sintra,Área Metropolitana de Lisboa,Lisboa,Estremadura
Tavira,Algarve,Faro,Algarve
Vendas Novas,Alentejo Central,Évora,Alto Alentejo
Vidigueira,Baixo Alentejo,Beja,Baixo Alentejo
Vila do Bispo,Algarve,Faro,Algarve
Vila Real de Santo António,Algarve,Faro,Algarve
